Label,Id,timeset,known,blockriccimaxmod,blockriccifinal,Degree,Weighted.Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality,Symbol,Full.Name,Gene_Name,Description,Gene_Family,AHD.2.0.hormone.annotations,GO.annotations,SideInfo_Update,SideInfo_Label,NodeAnno_Update,Plant.hormone.signal.transduction,Brassinosteroid.biosynthesis,Plant.pathogen.interaction,MAPK.signaling.pathway,Phosphatidylinositol.signaling.system,Basal.transcription.factors,Mismatch.repair,DNA.replication,Nucleotide.excision.repair,RNA.polymerase,Spliceosome,RNA.transport,RNA.degradation,Ribosome,Endocytosis,Protein.processing.in.endoplasmic.reticulum,Ubiquitin.mediated.proteolysis,Fructose.and.mannose.metabolism,Amino.sugar.and.nucleotide.sugar.metabolism,Biosynthesis.of.unsaturated.fatty.acids,alpha.Linolenic.acid.metabolism,Fatty.acid.degradation,Valine..leucine.and.isoleucine.degradation,Peroxisome,Cysteine.and.methionine.metabolism,Pyrimidine.metabolism,Purine.metabolism,Circadian.rhythm,Citrate.cycle,Pyruvate.metabolism,Glycolysis.Gluconeogenesis,Abscisic_acid,Auxin,Brassinosteroid,Cytokinin,Ethylene,Gibberellin,Jasmonic_acid,Salicylic_acid,Transcription_factor,Transporter,Stress,Abiotic_biotic_stimulus
AT2G40930,1992,NA,0,37,74,1,1,11,0.20094,0.210375,0,7.00E-06,7.00E-06,44,0.000128,0,0,0,0.001732,UBIQUITIN-SPECIFIC PROTEASE 5 (UBP5),UBIQUITIN-SPECIFIC PROTEASE 5 (UBP5);PIGMENT DEFECTIVE EMBRYO 323 (PDE323); (ATUBP5),NA,Encodes ubiquitin-specific protease with nuclear localization signals that is likely to be involved in ubiquitin-mediated protein degradation.,NA,NA,NA,protein degradation,protein degradation,protein degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G41020,2541,NA,0,2,394,1,1,10,0.175042,0.18151,0,1.00E-06,1.00E-06,57,0.000138,0,0,0,0.001005,,,NA,WW domain-containing protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G41060,1805,NA,0,32,210,3,3,10,0.186632,0.195034,859.893572,3.40E-05,3.40E-05,59,0.000329,0,0,0,0.002051,,,NA,RNA-binding (RRM/RBD/RNP motifs) family protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G41100,2328,NA,0,88,197,2,2,10,0.249141,0.268906,774.401653,0.00013,0.00013,44,0.000199,0,0,0,0.023563,TOUCH 3 (TCH3),TOUCH 3 (TCH3);ARABIDOPSIS THALIANA CALMODULIN LIKE 4 (ATCAL4);CALMODULIN-LIKE 12 (CML12),NA,"encodes a calmodulin-like protein, with six potential calcium binding domains. Calcium binding shown by Ca(2+)-specific shift in electrophoretic mobility. Expression induced by touch and darkness. Expression may also be developmentally controlled. Expression in growing regions of roots, vascular tissue, root/shoot junctions, trichomes, branch points of the shoot, and regions of siliques and flowers. The mRNA is cell-to-cell mobile.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G41120,2576,NA,0,171,405,1,1,11,0.180169,0.186932,0,3.00E-06,3.00E-06,4,0.000144,0,0,0,0.000994,,,NA,DUF309 domain protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G41280,1013,NA,0,157,370,3,3,11,0.232986,0.257204,21181.6656,0.01408,0.01408,74,0.000273,0,0,0,0.040451, (M10), (ATM10); (M10),NA,"Encodes a hydrophilic protein similar to Late Embryogenesis Activated (LEA) proteins expressed during embryogenesis, which are thought to be involved in the acquisition of desiccation tolerance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G41350,507,NA,0,23,248,10,10,9,0.264186,0.285136,11792.16832,0.000362,0.000362,6,0.000733,0,0.066667,3,0.034001,AUGMIN 1 (AUG1),EMBRYO DEFECTIVE 2819 (EMB2819); (AtAUG1);AUGMIN 1 (AUG1),NA,"Encodes AUG1, likely to be in an augmin-like complex with AUG3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G41370,1650,NA,0,64,135,4,4,9,0.221246,0.236219,4946.967773,3.70E-05,3.70E-05,9,0.00037,0,0,0,0.00945,BLADE ON PETIOLE2 (BOP2),BLADE ON PETIOLE2 (BOP2),NA,"Encodes BOP2, a cytoplasmic and nuclear-localized NPR1 like protein with BTB/POZ domain and ankyrin repeats. Interacts with BOP1 and appears to be genetically redundant with BOP1.bop1/bop2 double mutants have longer leaves, often with leaflets on the petiole, asymmetric flowers with extra organs and no nectaries. Also defective in floral organ abscission.  BOP1/2 promotes floral meristem fate and determinacy in a pathway targetting APETALA1 and AGAMOUS-LIKE24. PUCHI, BOP1 and BOP2 are redundantly required for expression of LFY and AP1. BOP2 is expressed in valve margin. Misexpression in stems causes short internodes and ectopic biosynthesis of lignin. BOP2 activity is antagonistic to BP (At4g08150) and PNY (At5g02030). BOP3 expression is restricted to pedicel axils by BP and PNY; promotes KNAT6 (At1g23380) expression.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G41430,2103,NA,0,21,38,1,1,11,0.176176,0.181962,0,2.00E-06,2.00E-06,108,0.000153,0,0,0,0.000795,EARLY RESPONSIVE TO DEHYDRATION 15 (ERD15),EARLY RESPONSIVE TO DEHYDRATION 15 (ERD15);LIGHT STRESS RESPONSE DEFICIENT 1 (LSR1); (LSR1);CTC-INTERACTING DOMAIN 1 (CID1);LIGHT STRESS-REGULATED 1 (LSR1),NA,"Encodes hydrophilic protein lacking Cys residues that is expressed in response to drought stress, light stress and treatment with plant-growth-promoting rhizobacteria (Paenibacillus polymyxa), possibly revealing a connection between responses to biotic and abiotic stress. Also identified as a  CTC Interacting Domain (CID) protein in a yeast two hybrid screen using the PAB2 protein as bait. Contains PAM2 like domain which mediates interaction with PABC domain in PAB2.",NA,NA,NA,multi,multi,stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G41680,361,NA,0,82,188,10,10,9,0.256815,0.275751,16447.89972,0.000259,0.000259,28,0.000878,0,0.044444,2,0.030169,NADPH-DEPENDENT THIOREDOXIN REDUCTASE C (NTRC),NADPH-DEPENDENT THIOREDOXIN REDUCTASE C (NTRC),NA,Encodes a NADPH thioredoxin reductase involved in chloroplast protection against oxidative damage.,NA,,,multi,multi,Stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0
AT2G41700,1196,NA,0,88,197,1,1,10,0.224295,0.239012,0,4.40E-05,4.40E-05,28,0.000129,0,0,0,0.010338,ATP-BINDING CASSETTE A1 (ABCA1),ATP-BINDING CASSETTE A1 (ABCA1);ARABIDOPSIS THALIANA ATP-BINDING CASSETTE A1 (AtABCA1),ATAOH1,ATP-binding cassette A1;(source:Araport11),ABC Superfamily,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G41720,2242,NA,0,18,308,2,2,10,0.225012,0.240104,109.383129,4.70E-05,4.70E-05,28,0.000193,0,0,0,0.011453,EMBRYO DEFECTIVE 2654 (EMB2654),EMBRYO DEFECTIVE 2654 (EMB2654),NA,Encodes a pentatricopeptide repeat protein that is essential for trans-splicing of a chloroplast small ribosomal subunit transcript.,NA,NA,NA,RNA processing,RNA processing,RNA processing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G41730,318,NA,0,77,165,5,5,10,0.263982,0.288581,6816.762799,0.000239,0.000239,44,0.000408,0,0,0,0.03985,,,NA,Expression in rosette leaves is activated by high concentration of boron.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G41760,1681,NA,0,33,281,2,2,10,0.203989,0.212787,50.070039,1.30E-05,1.30E-05,19,0.000213,0,0,0,0.002502,GLN-SPECIFIC AMINO-TERMINAL (NT)-AMIDASE (NTAQ1),GLN-SPECIFIC AMINO-TERMINAL (NT)-AMIDASE (NTAQ1),NA,"Controls the expression of specific defence-response genes, activates the synthesis pathway for the phytoalexin camalexin and influences basal resistance to Pseudomonas syringae pv tomato (Pst).",NA,NA,NA,multi,multi,biotic stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G41840,1870,NA,0,243,545,1,1,2,0.666667,0.75,0,0,0,88,0.000292,75,0,0,0.000553,,,NA,Ribosomal protein S5 family protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G41900,135,NA,0,41,82,1,1,2,0.666667,0.75,0,0,0,5,0.000292,3,0,0,0.000553,OXIDATIVE STRESS 2 (OXS2),OXIDATIVE STRESS 2 (OXS2); (DEG9);TANDEM ZINC FINGER PROTEIN 7 (TZF7),NA,AtOXS2 specifcally  entered the nuclear under salt stress. Te specifc nuclear localization of AtOXS2 could play a role in salt tolerance  at the molecular level. Tese results implied that AtOXS2 might target some downstream cis-elements which are  required for salt stress responses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G41970,2571,NA,0,93,296,1,1,12,0.154567,0.158529,0,0,0,81,0.000186,0,0,0,0.000689,MARIS (MRI),MARIS (MRI),NA,"Encodes MRI, a plasma membrane-localized member of the RLCK-VIII subfamily. Preferentially expressed in both pollen tubes and root hairs. mri-knockout mutants display spontaneous pollen tube and root-hair bursting.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G42260,529,NA,0,3,254,12,12,10,0.26654,0.288772,13114.17857,0.002059,0.002059,73,0.000806,0,0.015152,1,0.054089,UV-B-INSENSITIVE 4 (UVI4),POLYCHOME (PYM);UV-B-INSENSITIVE 4 (UVI4),NA,Encodes a novel plant-specific protein of unknown function. The UVI4 gene is expressed mainly in actively dividing cells. The hypocotyl cells in mutant seedlings undergo one extra round of endoreduplication. The uvi4 mutation also promoted the progression of endo-reduplication during leaf development.,NA,,,Abiotic_biotic_stimulus,Abiotic_biotic_stimulus,Abiotic_biotic_stimulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1
AT2G42395,822,NA,0,61,288,5,5,10,0.234217,0.25226,6434.496065,9.10E-05,9.10E-05,6,0.000523,0,0,0,0.017446,,,NA,hypothetical protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G42490,787,NA,0,49,221,8,8,10,0.24521,0.262366,4642.058676,0.000141,0.000141,73,0.000586,0,0,0,0.018648,COPPER AMINE OXIDASE ZETA (CUAO&#950;-ZETA),COPPER AMINE OXIDASE ZETA (CUAO&#950;-ZETA),NA,Peroxisome-localized copper amine oxidase involved in lateral root formation.,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G42560,406,NA,0,69,149,1,1,10,0.237778,0.253182,0,8.60E-05,8.60E-05,44,0.000127,0,0,0,0.013224,LATE EMBRYOGENESIS ABUNDANT 25 (LEA25),LATE EMBRYOGENESIS ABUNDANT 25 (LEA25),NA,late embryogenesis abundant domain-containing protein / LEA domain-containing protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G42580,1146,NA,0,3,159,5,5,9,0.245789,0.262587,2097.451499,0.000261,0.000261,73,0.000359,0,0,0,0.021632,TETRATRICOPETIDE-REPEAT THIOREDOXIN-LIKE 3 (TTL3),VHI-INTERACTING TPR CONTAINING PROTEIN (VIT);TETRATRICOPETIDE-REPEAT THIOREDOXIN-LIKE 3 (TTL3),NA,"Encodes a member of the TTL family and contains a thioredoxin like domain and three tandom TPRs. Interacts physically with BRL2/VH1 and appears to play a role in brassiosteroid and auxin signaling. Belongs to one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones. The TTL family is required for osmotic stress tolerance and male sporogenesis. The mRNA is cell-to-cell mobile.",NA,NA,NA,multi,multi,"brassiosteroid,auxin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G42780,2147,NA,0,14,583,1,1,11,0.192456,0.200476,0,4.00E-06,4.00E-06,10,0.000156,0,0,0,0.00122,,,NA,transcription elongation factor B polypeptide;(source:Araport11),NA,NA,NA,RNA processing,RNA processing,RNA processing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G42790,446,NA,0,5,176,11,11,10,0.223666,0.241112,17291.78822,2.90E-05,2.90E-05,20,0.001017,0,0.018182,1,0.012919,CITRATE SYNTHASE 3 (CSY3),CITRATE SYNTHASE 3 (CSY3),NA,Encodes a peroxisomal citrate synthase that is expressed throughout seedling and shoot development.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G42810,339,NA,0,79,177,1,1,16,0.10142,0.103159,0,0,0,10,0.000237,0,0,0,0.000557,PROTEIN PHOSPHATASE 5 (PP5),PHYTOCHROME-ASSOCIATED PROTEIN PHOSPHATASE 5 (PAPP5);PROTEIN PHOSPHATASE 5 (PP5);ARABIDOPSIS THALIANA PROTEIN PHOSPHATASE 5 (AtPP5);PROTEIN PHOSPHATASE 5.2 (PP5.2),NA,"Encodes a phytochrome-specific type 5 serine/threonine protein phosphatase. It dephosphorylates active Pfr-phytochromes. Controls light signal flux by enhancing phytochrome stability and affinity for a signal transducer. The gene is alternately spliced. This variant is an integral membrane protein localized to the ER and nuclear envelope. Belongs to one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.  It also regulates tetrapyrrole biosynthesis through the accumulation of Mg-ProtoIX and acts as a negative regulator of photosynthesis associated nuclear gene expression during chloroplast biogenesis and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G42870,321,NA,0,78,170,14,14,9,0.239396,0.258874,9668.581372,0.000113,0.000113,6,0.001061,0,0.054945,5,0.025933,PHY RAPIDLY REGULATED 1 (PAR1),HELIX-LOOP-HELIX 1 (HLH1);PHY RAPIDLY REGULATED 1 (PAR1),NA,"Encodes PHYTOCHROME RAPIDLY REGULATED1 (PAR1), an atypical basic helix-loop-helix (bHLP) protein.  Closely related to PAR2 (At3g58850).  Up regulated after simulated shade perception.  Acts in the nucleus to control plant development and as a negative regulator of shade avoidance response.  Functions as transcriptional repressor of auxin-responsive genes SAUR15 (AT4G38850) and SAUR68 (AT1G29510).",NA,NA,NA,auxin,auxin,auxin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G42910,1762,NA,0,28,86,1,1,10,0.194048,0.202098,0,1.00E-05,1.00E-05,73,0.000131,0,0,0,0.001424,PHOSPHORIBOSYL DIPHOSPHATE SYNTHASE 4 (PRS4), (ATPRS4);PHOSPHORIBOSYL DIPHOSPHATE SYNTHASE 4 (PRS4),NA,Phosphoribosyltransferase family protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G42940,1436,NA,0,14,279,4,4,10,0.240358,0.257033,3114.802593,9.10E-05,9.10E-05,20,0.000357,0,0,0,0.01588,AT-HOOK MOTIF NUCLEAR-LOCALIZED PROTEIN 16 (AHL16),AT-HOOK MOTIF NUCLEAR-LOCALIZED PROTEIN 16 (AHL16);TRANSPOSABLE ELEMENT SILENCING VIA AT-HOOK (TEK),NA,Encodes a nuclear matrix protein with  AT-hook DNA binding motifs that acts in the maintenance of genomic integrity by silencing TEs and repeat-containing genes through epigenetic machinery.  It interacts with FVE and MSI5 which are components of HDAC corepressor complexes.  It is expressed in tapetum during the tetrad stage.,NA,NA,NA,NA,NA,"AT-hook DNA binding motifs, TE silencor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G43060,423,NA,0,97,212,8,8,10,0.202865,0.215541,14311.03028,8.00E-06,8.00E-06,6,0.000825,0,0.035714,1,0.007083,ILI1 BINDING BHLH 1 (IBH1), (ATIBH1);ILI1 BINDING BHLH 1 (IBH1),NA,ILI1 binding bHLH 1;(source:Araport11),NA,,,Transcription_factor,Transcription_factor,Transcription_factor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0
AT2G43370,34,NA,0,3,22,20,20,9,0.287966,0.316134,35666.04057,0.00238,0.00238,73,0.001251,0,0.031579,6,0.09448,,,NA,RNA-binding (RRM/RBD/RNP motifs) family protein;(source:Araport11),NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G43410,1327,NA,0,190,457,3,3,10,0.209673,0.221678,4825.140103,2.50E-05,2.50E-05,4,0.000325,0,0,0,0.004697, (FPA), (FPA),NA,FPA  is a gene that regulates flowering time in Arabidopsis via a pathway that is independent of daylength (the autonomous  pathway). Mutations in  FPA  result in extremely delayed flowering. Double mutants with FCA have reduced fertility and single/double mutants have defects in siRNA mediated chromatin silencing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G43510,1046,NA,0,11,65,4,4,10,0.228405,0.259938,5228.609105,0.037264,0.037264,19,0.000311,0,0.333333,2,0.094377,TRYPSIN INHIBITOR PROTEIN 1 (TI1),TRYPSIN INHIBITOR PROTEIN 1 (TI1);TRYPSIN INHIBITOR PROTEIN 1 (ATTI1),NA,Member of the defensin-like (DEFL) family. Encodes putative trypsin inhibitor protein which may function in defense against herbivory.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G43640,2428,NA,0,295,609,1,1,1,1,1,0,0,0,130,0.00038,111,0,0,0.000493,,,NA,"Signal recognition particle, SRP9/SRP14 subunit;(source:Araport11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G43650,1011,NA,0,78,170,2,2,10,0.215799,0.227713,0,3.50E-05,3.50E-05,6,0.000179,0,1,1,0.006323,EMBRYO DEFECTIVE 2777 (EMB2777),THALLO (THAL);EMBRYO DEFECTIVE 2777 (EMB2777); (EMB2796),NA,"SAS10/C1D family protein. Loss of function mutants are embryo lethal.Ubiquitously expressed, with preference for tissues undergoing rapid cellular growth and differentiation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G43750,1635,NA,0,168,400,1,1,2,0.6,0.666667,0,0,0,42,0.000263,35,0,0,0.000613,O-ACETYLSERINE (THIOL) LYASE B (OASB),ARABIDOPSIS THALIANA CYSTEIN SYNTHASE-B (ATCS-B);O-ACETYLSERINE (THIOL) LYASE B (OASB);ARABIDOPSIS CYSTEINE SYNTHASE  1 (ACS1);CHLOROPLAST O-ACETYLSERINE SULFHYDRYLASE 1 (CPACS1),NA,"Arabidopsis thaliana O-acetylserine (thiol) lyase (OAS-TL) isoform oasB, the key enzyme for fixation of inorganic sulfide. It catalyzes the formation of cysteine from O-acetylserine and inorganic sulfide. Required for pollen tube growth and/or fertilization.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G43760,1905,NA,0,251,556,0,0,0,0,0,0,0,0,94,5.70E-05,80,0,0,0,COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 6 (CNX6),COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 6 (CNX6),NA,molybdopterin biosynthesis MoaE family protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
